"Frequency_Hz","Frequency_kHz","Label","Group","Mode","Bandwidth_Hz","Service","Country","Language","Target","Schedule_UTC","Days","Season","Station","Source_Dataset","Source_URL","Notes"
"1700000","1700","RFI ISS · 0500-0600Z · digital","HFCC A26 – Digital broadcast","AM","5000","Digital broadcast","F","Fra","47,52N,52SE,53NW","0500-0600","1234567","290326-241026","RFI","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site ISS; 250 kW; azimuth 155; antenna 216; FMO TDF; 16"
"1700000","1700","SDA SDA · 1100-1200Z · digital","HFCC A26 – Digital broadcast","AM","5000","Digital broadcast","USA","Cmn","43N,44N","1100-1200","1234567","290326-251026","SDA","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site SDA; 100 kW; azimuth 315; antenna 218; FMO FCC; x202"
"1704000","1704","Cabo de Gata Radio · 0000-2400Z","EiBi A26 – BCAST","AM","9000","BCAST","SPN","S","SEu","0000-2400","","","Cabo de Gata Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 780; mode token: AM"
"1704000","1704","Cabo de Gata Radio · 0840-0855Z","EiBi A26 – BCAST","AM","9000","BCAST","SPN","S","SEu","0840-0855","","","Cabo de Gata Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 781; mode token: AM"
"1704000","1704","Cabo de Gata Radio · 1003-1018Z","EiBi A26 – BCAST","AM","9000","BCAST","SPN","S","SEu","1003-1018","","","Cabo de Gata Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 782; mode token: AM"
"1704000","1704","Cabo de Gata Radio · 1533-1548Z","EiBi A26 – BCAST","AM","9000","BCAST","SPN","S","SEu","1533-1548","","","Cabo de Gata Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 783; mode token: AM"
"1704000","1704","Cabo de Gata Radio · 2003-2018Z","EiBi A26 – BCAST","AM","9000","BCAST","SPN","S","SEu","2003-2018","","","Cabo de Gata Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 784; mode token: AM"
"1704000","1704","Cabo de Gata Radio · 2105-2156Z","EiBi A26 – BCAST","AM","9000","BCAST","SPN","S,E","SEu","2105-2156","","","Cabo de Gata Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 785; mode token: AM"
"1704000","1704","Cabo de Gata Radio · 2333-2348Z","EiBi A26 – BCAST","AM","9000","BCAST","SPN","S","SEu","2333-2348","","","Cabo de Gata Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 786; mode token: AM"
"1705000","1705","ARS RIY · 0900-1200Z · digital","HFCC A26 – Digital broadcast","AM","9815","Digital broadcast","ARS","Ara","27,28,37N","0900-1200","1234567","290326-251026","ARS","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site RIY; 500 kW; azimuth 310; antenna 216; FMO ARS"
"1707000","1707","Coruña Radio · 0000-2400Z","EiBi A26 – BCAST","AM","9000","BCAST","SPN","S","SEu","0000-2400","","","Coruña Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 787; mode token: AM"
"1707000","1707","Coruña Radio · 0703-0718Z","EiBi A26 – BCAST","AM","9000","BCAST","SPN","S","SEu","0703-0718","","","Coruña Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 788; mode token: AM"
"1707000","1707","Coruña Radio · 0903-0918Z","EiBi A26 – BCAST","AM","9000","BCAST","SPN","S","SEu","0903-0918","","","Coruña Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 789; mode token: AM"
"1707000","1707","Coruña Radio · 1503-1518Z","EiBi A26 – BCAST","AM","9000","BCAST","SPN","S","SEu","1503-1518","","","Coruña Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 790; mode token: AM"
"1707000","1707","Coruña Radio · 1900-1919Z","EiBi A26 – BCAST","AM","9000","BCAST","SPN","S,E","SEu","1900-1919","","","Coruña Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 791; mode token: AM"
"1707000","1707","Coruña Radio · 1935-1944Z","EiBi A26 – BCAST","AM","9000","BCAST","SPN","S,E","SEu","1935-1944","","","Coruña Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 792; mode token: AM"
"1707000","1707","Coruña Radio · 2003-2018Z","EiBi A26 – BCAST","AM","9000","BCAST","SPN","S","SEu","2003-2018","","","Coruña Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 793; mode token: AM"
"1707000","1707","Coruña Radio · 2035-2050Z","EiBi A26 – BCAST","AM","9000","BCAST","SPN","S","SEu","2035-2050","","","Coruña Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 794; mode token: AM"
"1707000","1707","Coruña Radio · 2303-2318Z","EiBi A26 – BCAST","AM","9000","BCAST","SPN","S","SEu","2303-2318","","","Coruña Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 795; mode token: AM"
"1710000","1710","Telenor Kystradio North · 0233-0248Z","EiBi A26 – BCAST","AM","9000","BCAST","NOR","NO","NEu","0233-0248","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 796; mode token: AM"
"1710000","1710","Telenor Kystradio North · 0633-0648Z","EiBi A26 – BCAST","AM","9000","BCAST","NOR","NO","NEu","0633-0648","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 797; mode token: AM"
"1710000","1710","Telenor Kystradio North · 1033-1048Z","EiBi A26 – BCAST","AM","9000","BCAST","NOR","NO","NEu","1033-1048","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 798; mode token: AM"
"1710000","1710","Telenor Kystradio North · 1203-1218Z","EiBi A26 – BCAST","AM","9000","BCAST","NOR","E","NEu","1203-1218","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 799; mode token: AM"
"1710000","1710","Telenor Kystradio North · 1433-1448Z","EiBi A26 – BCAST","AM","9000","BCAST","NOR","NO","NEu","1433-1448","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 800; mode token: AM"
"1710000","1710","Telenor Kystradio North · 1833-1848Z","EiBi A26 – BCAST","AM","9000","BCAST","NOR","NO","NEu","1833-1848","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 801; mode token: AM"
"1710000","1710","Telenor Kystradio North · 2233-2248Z","EiBi A26 – BCAST","AM","9000","BCAST","NOR","NO","NEu","2233-2248","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 802; mode token: AM"
"1710000","1710","Telenor Kystradio North · 2303-2318Z","EiBi A26 – BCAST","AM","9000","BCAST","NOR","E","NEu","2303-2318","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 803; mode token: AM"
"1710000","1710","ARS JED · 0300-0600Z","HFCC A26 – Broadcast","AM","8870","Broadcast","ARS","Pus","30S,40,41N,42W","0300-0600","1234567","290326-251026","ARS","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site JED; 250 kW; azimuth 60; antenna 216; FMO ARS"
"1710000","1710","CRI NNN · 0600-0700Z","HFCC A26 – Broadcast","AM","9000","Broadcast","CHN","Chn","49SE","0600-0700","1234567","290326-251026","CRI","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site NNN; 100 kW; azimuth 200; antenna 206; FMO RTC"
"1710000","1710","CRI NNN · 0700-0800Z","HFCC A26 – Broadcast","AM","9000","Broadcast","CHN","Chn","49SE","0700-0800","1234567","290326-251026","CRI","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site NNN; 100 kW; azimuth 200; antenna 206; FMO RTC"
"1710000","1710","CRI XIA · 0800-0900Z","HFCC A26 – Broadcast","AM","9700","Broadcast","CHN","Eng","44NE,45N","0800-0900","1234567","290326-251026","CRI","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site XIA; 500 kW; azimuth 73; antenna 206; FMO RTC"
"1710000","1710","CRI XIA · 0900-1000Z","HFCC A26 – Broadcast","AM","9700","Broadcast","CHN","Eng","44NE,45N","0900-1000","1234567","290326-251026","CRI","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site XIA; 500 kW; azimuth 73; antenna 206; FMO RTC"
"1710000","1710","IRB SIR · 1220-1320Z","HFCC A26 – Broadcast","AM","9000","Broadcast","IRN","Pus","30S,31S,40E","1220-1320","1234567","290326-241026","IRB","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site SIR; 500 kW; azimuth 40; antenna 211; FMO IRB; PUSHTOO"
"1710000","1710","IRB SIR · 1320-1420Z","HFCC A26 – Broadcast","AM","9000","Broadcast","IRN","Kur","39","1320-1420","1234567","290326-241026","IRB","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site SIR; 500 kW; azimuth 298; antenna 218; FMO IRB; KURD-SH"
"1710000","1710","IRB SIR · 1420-1520Z","HFCC A26 – Broadcast","AM","9000","Broadcast","IRN","Ben","41NE","1420-1520","1234567","290326-241026","IRB","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site SIR; 500 kW; azimuth 90; antenna 218; FMO IRB; BENGALI"
"1710000","1710","IRB SIR · 1520-1620Z","HFCC A26 – Broadcast","AM","9000","Broadcast","IRN","Eng","41,49,54","1520-1620","1234567","290326-241026","IRB","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site SIR; 500 kW; azimuth 102; antenna 146; FMO IRB; ENGLISH"
"1710000","1710","IRB SIR · 1620-1650Z","HFCC A26 – Broadcast","AM","9000","Broadcast","IRN","Ben","41NE","1620-1650","1234567","290326-241026","IRB","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site SIR; 500 kW; azimuth 90; antenna 145; FMO IRB; BENGALI"
"1710000","1710","IRB SIR · 1650-1820Z","HFCC A26 – Broadcast","AM","9000","Broadcast","IRN","Tur","29S,39N","1650-1820","1234567","290326-241026","IRB","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site SIR; 500 kW; azimuth 310; antenna 211; FMO IRB; TURK-ES"
"1710000","1710","RRS IRK · 1000-1500Z","HFCC A26 – Broadcast","AM","9000","Broadcast","RUS","Rus","44","1000-1500","1234567","290326-241026","RRS","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site IRK; 100 kW; azimuth 110; antenna 288; FMO GFC"
"1710000","1710","AIR DEL · 0100-0230Z · digital","HFCC A26 – Digital broadcast","AM","9700","Digital broadcast","IND","Bod","42,43","0100-0230","1234567","290326-251026","AIR","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site DEL; 100 kW; azimuth 102; antenna 101; FMO AIR"
"1710000","1710","MBR NAU · 1830-1930Z · digital","HFCC A26 – Digital broadcast","AM","9600","Digital broadcast","D","Mul","29S,30NW,30S,39N,39SE,40,41NW","1830-1930","35","290326-241026","MBR","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site NAU; 100 kW; azimuth 113; antenna 216; FMO MBR; A.PERSI"
"1713000","1713","Reykjavik Radio · 0205-0220Z","EiBi A26 – AERO","USB","2700","AERO","ISL","E","NAO","0205-0220","","","Reykjavik Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 804; mode token: USB"
"1713000","1713","Reykjavik Radio · 0505-0520Z","EiBi A26 – AERO","USB","2700","AERO","ISL","E","NAO","0505-0520","","","Reykjavik Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 805; mode token: USB"
"1713000","1713","Reykjavik Radio · 0805-0820Z","EiBi A26 – AERO","USB","2700","AERO","ISL","E","NAO","0805-0820","","","Reykjavik Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 806; mode token: USB"
"1713000","1713","Reykjavik Radio · 1105-1120Z","EiBi A26 – AERO","USB","2700","AERO","ISL","E","NAO","1105-1120","","","Reykjavik Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 807; mode token: USB"
"1713000","1713","Reykjavik Radio · 1405-1420Z","EiBi A26 – AERO","USB","2700","AERO","ISL","E","NAO","1405-1420","","","Reykjavik Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 808; mode token: USB"
"1713000","1713","Reykjavik Radio · 1705-1720Z","EiBi A26 – AERO","USB","2700","AERO","ISL","E","NAO","1705-1720","","","Reykjavik Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 809; mode token: USB"
"1713000","1713","Reykjavik Radio · 2005-2020Z","EiBi A26 – AERO","USB","2700","AERO","ISL","E","NAO","2005-2020","","","Reykjavik Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 810; mode token: USB"
"1713000","1713","Reykjavik Radio · 2305-2320Z","EiBi A26 – AERO","USB","2700","AERO","ISL","E","NAO","2305-2320","","","Reykjavik Radio","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 811; mode token: USB"
"1713000","1713","Telenor Kystradio North · 0233-0248Z","EiBi A26 – UTIL","USB","2700","UTIL","NOR","NO","NEu","0233-0248","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 812; mode token: USB"
"1713000","1713","Telenor Kystradio North · 0633-0648Z","EiBi A26 – UTIL","USB","2700","UTIL","NOR","NO","NEu","0633-0648","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 813; mode token: USB"
"1713000","1713","Telenor Kystradio North · 1033-1048Z","EiBi A26 – UTIL","USB","2700","UTIL","NOR","NO","NEu","1033-1048","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 814; mode token: USB"
"1713000","1713","Telenor Kystradio North · 1203-1218Z","EiBi A26 – UTIL","USB","2700","UTIL","NOR","E","NEu","1203-1218","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 815; mode token: USB"
"1713000","1713","Telenor Kystradio North · 1433-1448Z","EiBi A26 – UTIL","USB","2700","UTIL","NOR","NO","NEu","1433-1448","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 816; mode token: USB"
"1713000","1713","Telenor Kystradio North · 1833-1848Z","EiBi A26 – UTIL","USB","2700","UTIL","NOR","NO","NEu","1833-1848","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 817; mode token: USB"
"1713000","1713","Telenor Kystradio North · 2233-2248Z","EiBi A26 – UTIL","USB","2700","UTIL","NOR","NO","NEu","2233-2248","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 818; mode token: USB"
"1713000","1713","Telenor Kystradio North · 2303-2318Z","EiBi A26 – UTIL","USB","2700","UTIL","NOR","E","NEu","2303-2318","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 819; mode token: USB"
"1715000","1715","KBS KIM · 2100-2400Z","HFCC A26 – Broadcast","AM","9000","Broadcast","KOR","Eng","30-32","2100-2400","1234567","290326-251026","KBS","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site KIM; 250 kW; azimuth 305; antenna 216; FMO KBS"
"1720000","1720","IRB SIR · 1820-1920Z","HFCC A26 – Broadcast","AM","9000","Broadcast","IRN","Hau","46,47","1820-1920","1234567","290326-241026","IRB","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site SIR; 500 kW; azimuth 257; antenna 218; FMO IRB; HAUSAA-"
"1720000","1720","CRI BJI · 1100-1200Z · digital","HFCC A26 – Digital broadcast","AM","5000","Digital broadcast","CHN","Vie","49E","1100-1200","1234567","290326-251026","CRI","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site BJI; 150 kW; azimuth 195; antenna 146; FMO RTC"
"1720000","1720","CRI BJI · 1200-1300Z · digital","HFCC A26 – Digital broadcast","AM","5000","Digital broadcast","CHN","Vie","49E","1200-1300","1234567","290326-251026","CRI","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site BJI; 150 kW; azimuth 195; antenna 146; FMO RTC"
"1720000","1720","PBS PHT · 0200-0330Z · digital","HFCC A26 – Digital broadcast","AM","5000","Digital broadcast","PHL","Fil","39,40","0200-0330","1234567","290326-241026","PBS","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site PHT; 250 kW; azimuth 283; antenna 215; FMO AGM"
"1722000","1722","Telenor Kystradio North · 0233-0248Z","EiBi A26 – UTIL","USB","2700","UTIL","NOR","NO","NEu","0233-0248","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 820; mode token: USB"
"1722000","1722","Telenor Kystradio North · 0633-0648Z","EiBi A26 – UTIL","USB","2700","UTIL","NOR","NO","NEu","0633-0648","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 821; mode token: USB"
"1722000","1722","Telenor Kystradio North · 1033-1048Z","EiBi A26 – UTIL","USB","2700","UTIL","NOR","NO","NEu","1033-1048","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 822; mode token: USB"
"1722000","1722","Telenor Kystradio North · 1433-1448Z","EiBi A26 – UTIL","USB","2700","UTIL","NOR","NO","NEu","1433-1448","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 823; mode token: USB"
"1722000","1722","Telenor Kystradio North · 1833-1848Z","EiBi A26 – UTIL","USB","2700","UTIL","NOR","NO","NEu","1833-1848","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 824; mode token: USB"
"1722000","1722","Telenor Kystradio North · 2233-2248Z","EiBi A26 – UTIL","USB","2700","UTIL","NOR","NO","NEu","2233-2248","","","Telenor Kystradio North","EiBi A26 / KiwiSDR snapshot","https://github.com/jks-prv/KiwiSDR/blob/3b570602a14161188f8c85eede62ab2a70e7ad66/dx/EiBi.h","EiBi record 825; mode token: USB"
"1725000","1725","CRI XIA · 1600-1800Z","HFCC A26 – Broadcast","AM","8180","Broadcast","CHN","Deu","28","1600-1800","1234567","290326-251026","CRI","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site XIA; 500 kW; azimuth 317; antenna 218; FMO RTC"
"1725000","1725","KBS KIM · 0100-0400Z","HFCC A26 – Broadcast","AM","9000","Broadcast","KOR","Eng","45","0100-0400","1234567","290326-251026","KBS","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site KIM; 250 kW; azimuth 81; antenna 216; FMO KBS"
"1725000","1725","KBS KIM · 1000-1200Z","HFCC A26 – Broadcast","AM","9000","Broadcast","KOR","Eng","14,45","1000-1200","1234567","290326-251026","KBS","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site KIM; 250 kW; azimuth 96; antenna 216; FMO KBS"
"1725000","1725","NHK YAM · 2000-2330Z","HFCC A26 – Broadcast","AM","9000","Broadcast","J","Jpn","41","2000-2330","1234567","290326-241026","NHK","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site YAM; 300 kW; azimuth 270; antenna 208; FMO NHK"
"1725000","1725","RNZ RAN · 1745-2200Z","HFCC A26 – Broadcast","AM","9000","Broadcast","NZL","Eng","61S,62,63W","1745-2200","6","290326-241026","RNZ","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site RAN; 50 kW; azimuth 35; antenna 156; FMO RNZ; NZL"
"1725000","1725","RNZ RAN · 1745-2200Z","HFCC A26 – Broadcast","AM","9000","Broadcast","NZL","Eng","51,56,64S,65S","1745-2200","6","290326-241026","RNZ","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site RAN; 50 kW; azimuth 325; antenna 156; FMO RNZ; NZL"
"1725000","1725","ADM DHA · 1330-1400Z · digital","HFCC A26 – Digital broadcast","AM","5000","Digital broadcast","UAE","Prs","40E,41NW","1330-1400","1234567","290326-251026","ADM","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site DHA; 250 kW; azimuth 45; antenna 146; FMO ADM; UAE"
"1725000","1725","ADM DHA · 1400-1430Z · digital","HFCC A26 – Digital broadcast","AM","5000","Digital broadcast","UAE","Pus","40E,41NW","1400-1430","1234567","290326-251026","ADM","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site DHA; 250 kW; azimuth 45; antenna 146; FMO ADM; UAE"
"1725000","1725","RNZ RAN · 0500-1100Z · digital","HFCC A26 – Digital broadcast","AM","5000","Digital broadcast","NZL","Eng","51,56,64S,65S","0500-1100","1234567","290326-241026","RNZ","HFCC A26 ALL 09-Jul-2026","https://github.com/sv1btl/PhantomSDR-Plus/blob/main/frequencylist/A26all00.TXT","Site RAN; 50 kW; azimuth 325; antenna 156; FMO RNZ; NZL"
